,Book,Author(s),Original language,No. of installments,First published,Approximate sales,Genre,Book type,Last published
303,Betty Crocker Cookbook,General Mills staff,English,N/A,1950,75.0,N/A,Regularly Updated,2016 (12th edition)
304,Tung Shing (Chinese: 通勝),"Choi Park Lai's family, among others",Chinese,N/A,1891(Only counting versions published by Choi's family),70.0,N/A,Regularly Updated,N/A
305,Merriam-Webster's Collegiate Dictionary,Merriam-Webster,English,N/A,1898,55.0,N/A,Regularly Updated,N/A
306,Roget's Thesaurus,Peter Mark Roget,English,N/A,1852,40.0,N/A,Regularly Updated,N/A
307,できるシリーズ (Dekiru Series),Impress Dekiru Series Editorial Desk,Japanese,N/A,1994,40.0,N/A,Regularly Updated,present
308,Better Homes and Gardens New Cook Book,Various authors,English,N/A,1930,38.0,N/A,Regularly Updated,N/A
309,수학의 정석 (The Art of Mathematics),Hong Sung-dae,Korean,N/A,1966,37.0,N/A,Regularly Updated,present
310,Oxford Advanced Learner's Dictionary,A. S. Hornby,English,N/A,1948,30.0,N/A,Regularly Updated,N/A
311,Le guide Michelin France (The Michelin Guide France) (published every year),Various authors,French,N/A,1900,30.0,N/A,Regularly Updated,present
312,超図解シリーズ (Cho-Zukai series),X media,Japanese,N/A,1996,25.0,N/A,Regularly Updated,2007
313,自由自在 (Jiyu Jizai),Various authors,Japanese,N/A,1953,24.0,N/A,Regularly Updated,present
314,新明解国語辞典 (Shin Meikai kokugo jiten),Tadao Yamada,Japanese,N/A,1972,20.4,N/A,Regularly Updated,N/A
315,English Grammar,Lindley Murray,English,N/A,1795,20.0,N/A,Regularly Updated,N/A
316,The Joy of Cooking,Various authors,English,N/A,1936,18.0,N/A,Regularly Updated,N/A
317,スーパーマップル (Super Mapple),Various authors,Japanese,N/A,1991,18.0,N/A,Regularly Updated,present
318,チャート式 (Chart Shiki),Various authors,Japanese,N/A,1927,17.44,N/A,Regularly Updated,present
319,"英語基本単語集 (Eigo Kihon Tangoshu) ""Compilation of basic English vocabulary""",Yoshio Akao,"Japanese, English",N/A,1965,17.2,N/A,Regularly Updated,N/A
320,Merriam-Webster Pocket Dictionary,N/A,English,N/A,(Up to 1965),15.11,N/A,Regularly Updated,N/A
321,"試験に出る英単語 (Siken Ni Deru Eitango) ""English vocabulary in examinations""",Ichiro Mori,"Japanese, English",N/A,1967,15.0,N/A,Regularly Updated,N/A
322,"新英和中辞典 (Shin Eiwa Chu Jiten) ""New English-Japanese Dictionary""",Shigeru Takebayashi,"Japanese, English",N/A,1967,12.0,N/A,Regularly Updated,N/A
323,広辞苑 (Kōjien),Izuru Shinmura,Japanese,N/A,1955,11.9,N/A,Regularly Updated,N/A
324,"旺文社古語辞典 (Obunsha Kogo Jiten) ""Obunsha Dictionary of Archaisms""",Akira Matsumura,Japanese,N/A,1965,11.0,N/A,Regularly Updated,N/A
325,Hammond's Pocket Atlas,N/A,English,N/A,(Up to 1965),11.0,N/A,Regularly Updated,N/A
326,"三省堂国語辞典 (Sanseido Kokugo Jiten) ""Sanseido Dictionary of the Japanese Language""",Kenbō Hidetoshi,Japanese,N/A,1960,10.0,N/A,Regularly Updated,N/A
327,"家庭に於ける実際的看護の秘訣 (Katei Ni Okeru Jissaiteki Kango No Hiketsu) ""Key to Practical Personal Care at Home""",Takichi Tsukuda,Japanese,N/A,1925,10.0,N/A,Regularly Updated,N/A
328,C程序设计 (C Program Design),"Tan, Haoqiang",Chinese,N/A,1991,10.0,N/A,Regularly Updated,N/A
